source,phrase,count
bing,imathia,61300
bing,saint Nikolas imathia,935
bing,bermio mountain imathia,24
bing,seli imathia,3180
bing,3-5 pigadia imathia,3930
bing,aliakmonas imathia,2560
bing,ampelourgikes perioxes imathia,0
bing,archaelogical site mieza imathia,24
bing,archaelogical site vergina imathia,704
bing,school of aristotelis imathia,1280
bing,panagia soumela imathia,2220
bing,byzantine churches imathia,4490
bing,thessaloniki,8040000
bing,lake volvi Thessaloniki,8790
bing,volvi spa Thessaloniki,3460
bing,lake koronia Thessaloniki,3000
bing,lagadas spa Thessaloniki,3810
bing,axios delta Thessaloniki,9050
bing,white tower Thessaloniki,89400
bing,rotonta Thessaloniki,13400
bing,kamara Thessaloniki,21600
bing,roman market Thessaloniki,34900
bing,genti koule Thessaloniki,1730
bing,byzantine churches Thessaloniki,31700
bing,musulman monument Thessaloniki,2450
bing,archaelogical museum Thessaloniki,17300
bing,museum of byzantine civilization Thessaloniki,13200
bing,white tower museum Thessaloniki,56700
bing,kilkis,170000
bing,paiko mountain Kilkis,1720
bing,mpeles mountain Kilkis,21
bing,sierra kroussia  Kilkis,20
bing,cave of saint George Kilkis,8200
bing,pikrolimni Kilkis,3790
bing,doirani lake Kilkis,2790
bing,archaelogical site of palatianos Kilkis,5
bing,ancient city of europos Kilkis,619
bing,monastery of saint nikodimos Kilkis,40
bing,monastery of holy mary goumenissa Kilkis,425
bing,Balkan botanic garden of kroussia Kilkis,693
bing,archaelogical museum Kilkis,1140
bing,war museum Kilkis,15900
bing,museum of first world war Kilkis,9760
bing,pella,10500000
bing,black forest Pella,178000
bing,a thousand trees Pella,13700
bing,kaimaktsalan Pella,13400
bing,begoritida lake Pella,13
bing,agra lake Pella,13400
bing,edeseos river Pella,2
bing,loudias river Pella,1410
bing,waterfalls of Eddesa,34
bing,pozar spa Pella,7840
bing,ancient Pella,93100
bing,archaelogical museum of Pella,5950
bing,rowing center loudias river Pella,336
bing,horseback riding center Pella,13200
bing,saint athanasios village Pella,16000
bing,pieria,332000
bing,haliacmon Pieria,4080
bing,olympus Pieria,38200
bing,Pieria mountains Pieria,24400
bing,delta of haliacmon Pieria,1690
bing,ancient dion Pieria,12400
bing,platamonas castle Pieria,12600
bing,ancient pidna Pieria,1130
bing,ancient leibithra Pieria,15
bing,byzantine monuments Pieria,11900
bing,Olympus festival Pieria,12000
bing,folk festival Pieria,11800
bing,serres,4790000
bing,struma river Serres,7230
bing,aggitis river Serres,1480
bing,aggitis canyon Serres,662
bing,kerkini lake Serres,13100
bing,alistrati cave Serres,4580
bing,lailia forest Serres,963
bing,nigritas spa Serres,589
bing,archaelogical site of amphipolis Serres,844
bing,amphipolis museum Serres,9770
bing,archaelogical museum Serres,1920
bing,byzantine monasteries Serres,12200
bing,fort roupel Serres,2520
bing,amphipolis festival Serres,3120
bing,anastenaria Serres,1800
bing,halkidiki,811000
bing,athos mountain Halkidiki,18600
bing,xabrias Halkidiki,0
bing,grove of Aristotle Halkidiki,3830
bing,petralona cave Halkidiki,13900
bing,ancient stagira Halkidiki,4920
bing,agios mamas church Halkidiki,5900
bing,poseidon temple Halkidiki,11600
bing,zeus temple Halkidiki,11900
bing,archaelogical site of olinthos Halkidiki,,5
bing,agio oros Halkidiki,6430
bing,archaelogical museum poligiros Halkidiki,18
bing,archaelogical museum petralona Halkidiki,127
bing,festival of kassandra Halkidiki,13000
bing,sani festival Halkidiki,12900
yahoo,imathia,59800
yahoo,saint Nikolas imathia,293000
yahoo,bermio mountain imathia,186000
yahoo,seli imathia,7420
yahoo,3-5 pigadia imathia,1360000000
yahoo,aliakmonas imathia,2540
yahoo,ampelourgikes perioxes imathia,63
yahoo,archaelogical site mieza imathia,653000
yahoo,archaelogical site vergina imathia,68500
yahoo,school of aristotelis imathia,69700
yahoo,panagia soumela imathia,22900
yahoo,byzantine churches imathia,3490000
yahoo,thessaloniki,7970000
yahoo,lake volvi Thessaloniki,13700
yahoo,volvi spa Thessaloniki,320000
yahoo,lake koronia Thessaloniki,349000
yahoo,lagadas spa Thessaloniki,305000
yahoo,axios delta Thessaloniki,338000
yahoo,white tower Thessaloniki,162000
yahoo,rotonta Thessaloniki,61200
yahoo,kamara Thessaloniki,55500
yahoo,roman market Thessaloniki,6460000
yahoo,genti koule Thessaloniki,32100
yahoo,byzantine churches Thessaloniki,1700000
yahoo,musulman monument Thessaloniki,339000
yahoo,archaelogical museum Thessaloniki,413000
yahoo,museum of byzantine civilization Thessaloniki,416000
yahoo,white tower museum Thessaloniki,4310000
yahoo,kilkis,169000
yahoo,paiko mountain Kilkis,27600
yahoo,mpeles mountain Kilkis,36500000
yahoo,sierra kroussia  Kilkis,15100000
yahoo,cave of saint George Kilkis,505000
yahoo,pikrolimni Kilkis,3890
yahoo,doirani lake Kilkis,32300
yahoo,archaelogical site of palatianos Kilkis,5000
yahoo,ancient city of europos Kilkis,27200
yahoo,monastery of saint nikodimos Kilkis,14600
yahoo,monastery of holy mary goumenissa Kilkis,5320
yahoo,Balkan botanic garden of kroussia Kilkis,2510
yahoo,archaelogical museum Kilkis,2310000
yahoo,war museum Kilkis,1530000
yahoo,museum of first world war Kilkis,1130000
yahoo,pella,9990000
yahoo,black forest Pella,596000
yahoo,a thousand trees Pella,7150000
yahoo,kaimaktsalan Pella,18000
yahoo,begoritida lake Pella,413000
yahoo,agra lake Pella,1090000
yahoo,edeseos river Pella,733000
yahoo,loudias river Pella,357000
yahoo,waterfalls of Eddesa,76800
yahoo,pozar spa Pella,14900000
yahoo,ancient Pella,166000
yahoo,archaelogical museum of Pella,105000
yahoo,rowing center loudias river Pella,20500
yahoo,horseback riding center Pella,2900000
yahoo,saint athanasios village Pella,342000
yahoo,pieria,325000
yahoo,haliacmon Pieria,4130
yahoo,olympus Pieria,54700
yahoo,Pieria mountains Pieria,256000
yahoo,delta of haliacmon Pieria,390000
yahoo,ancient dion Pieria,423000
yahoo,platamonas castle Pieria,53200
yahoo,ancient pidna Pieria,80300
yahoo,ancient leibithra Pieria,78800
yahoo,byzantine monuments Pieria,620000
yahoo,Olympus festival Pieria,768000
yahoo,folk festival Pieria,6030000
yahoo,serres,4670000
yahoo,struma river Serres,52400000
yahoo,aggitis river Serres,171000
yahoo,aggitis canyon Serres,33200
yahoo,kerkini lake Serres,159000
yahoo,alistrati cave Serres,132000
yahoo,lailia forest Serres,342000
yahoo,nigritas spa Serres,335000
yahoo,archaelogical site of amphipolis Serres,1890000
yahoo,amphipolis museum Serres,173000
yahoo,archaelogical museum Serres,2270000
yahoo,byzantine monasteries Serres,645000
yahoo,fort roupel Serres,394000
yahoo,amphipolis festival Serres,288000
yahoo,anastenaria Serres,1880
yahoo,halkidiki,751000
yahoo,athos mountain Halkidiki,235000
yahoo,xabrias Halkidiki,11000
yahoo,grove of Aristotle Halkidiki,249000
yahoo,petralona cave Halkidiki,30900
yahoo,ancient stagira Halkidiki,159000
yahoo,agios mamas church Halkidiki,47600
yahoo,poseidon temple Halkidiki,366000
yahoo,zeus temple Halkidiki,764000
yahoo,archaelogical site of olinthos Halkidiki,,43200
yahoo,agio oros Halkidiki,59000
yahoo,archaelogical museum poligiros Halkidiki,29900
yahoo,archaelogical museum petralona Halkidiki,48100
yahoo,festival of kassandra Halkidiki,129000
yahoo,sani festival Halkidiki,377000
google,imathia,2640000
google,saint Nikolas imathia,44500
google,bermio mountain imathia,13400
google,seli imathia,14900
google,3-5 pigadia imathia,14400
google,aliakmonas imathia,6040
google,ampelourgikes perioxes imathia,201
google,archaelogical site mieza imathia,5230
google,archaelogical site vergina imathia,72900
google,school of aristotelis imathia,83000
google,panagia soumela imathia,7330
google,byzantine churches imathia,69500
google,thessaloniki,27200000
google,lake volvi Thessaloniki,24200
google,volvi spa Thessaloniki,61800
google,lake koronia Thessaloniki,8700
google,lagadas spa Thessaloniki,14500
google,axios delta Thessaloniki,25900
google,white tower Thessaloniki,478000
google,rotonta Thessaloniki,244000
google,kamara Thessaloniki,86800
google,roman market Thessaloniki,1050000
google,genti koule Thessaloniki,48800
google,byzantine churches Thessaloniki,432000
google,musulman monument Thessaloniki,34500
google,archaelogical museum Thessaloniki,396000
google,museum of byzantine civilization Thessaloniki,255000
google,white tower museum Thessaloniki,596000
google,kilkis,2960000
google,paiko mountain Kilkis,6860
google,mpeles mountain Kilkis,2680
google,sierra kroussia  Kilkis,996
google,cave of saint George Kilkis,52000
google,pikrolimni Kilkis,31200
google,doirani lake Kilkis,9790
google,archaelogical site of palatianos Kilkis,186
google,ancient city of europos Kilkis,141000
google,monastery of saint nikodimos Kilkis,15400
google,monastery of holy mary goumenissa Kilkis,2070
google,Balkan botanic garden of kroussia Kilkis,1160
google,archaelogical museum Kilkis,16400
google,war museum Kilkis,5780
google,museum of first world war Kilkis,70000
google,pella,15300000
google,black forest Pella,2740000
google,a thousand trees Pella,1230000
google,kaimaktsalan Pella,52700
google,begoritida lake Pella,11500
google,agra lake Pella,2490000
google,edeseos river Pella,47400
google,loudias river Pella,4620
google,waterfalls of Eddesa,74500
google,pozar spa Pella,92600
google,ancient Pella,425000
google,archaelogical museum of Pella,139000
google,rowing center loudias river Pella,1520
google,horseback riding center Pella,185000
google,saint athanasios village Pella,72000
google,pieria,4700000
google,haliacmon Pieria,32100
google,olympus Pieria,205000
google,Pieria mountains Pieria,392000
google,delta of haliacmon Pieria,42000
google,ancient dion Pieria,88400
google,platamonas castle Pieria,30400
google,ancient pidna Pieria,3800
google,ancient leibithra Pieria,414
google,byzantine monuments Pieria,90600
google,Olympus festival Pieria,34000
google,folk festival Pieria,4690
google,serres,18000000
google,struma river Serres,8720
google,aggitis river Serres,4160
google,aggitis canyon Serres,7800
google,kerkini lake Serres,37800
google,alistrati cave Serres,10700
google,lailia forest Serres,218000
google,nigritas spa Serres,18700
google,archaelogical site of amphipolis Serres,41900
google,amphipolis museum Serres,20100
google,archaelogical museum Serres,108000
google,byzantine monasteries Serres,191000
google,fort roupel Serres,4280
google,amphipolis festival Serres,40300
google,anastenaria Serres,4210
google,halkidiki,4750000
google,athos mountain Halkidiki,418000
google,xabrias Halkidiki,1200
google,grove of Aristotle Halkidiki,24000
google,petralona cave Halkidiki,27200
google,ancient stagira Halkidiki,12400
google,agios mamas church Halkidiki,19200
google,poseidon temple Halkidiki,36100
google,zeus temple Halkidiki,34300
google,archaelogical site of olinthos Halkidiki,,42800
google,agio oros Halkidiki,108000
google,archaelogical museum poligiros Halkidiki,2940
google,archaelogical museum petralona Halkidiki,16000
google,festival of kassandra Halkidiki,34900
google,sani festival Halkidiki,89600
